Designator,Mid X,Mid Y,Rotation,Layer
J9,-128.225,-115.9,180,bottom
C1,128.5,-57.8,180,top
C2,142.1,-57.4,0,top
C3,142,-59.6,0,top
C4,169.5,-96.8,180,top
C5,145,-118,-90,top
C6,146.7,-118,-90,top
C7,172.3,-99.3,0,top
C8,149.2,-80.6,90,top
C9,177.9,-113.6,0,top
C10,150.5,-78.6,0,top
C11,154.7,-83.8,90,top
C12,175.3,-113.4,90,top
C13,152,-80.8,90,top
C14,150.7,-80.8,90,top
C15,165.4,-113.4,90,top
C16,134.8,-95,180,top
C17,166.7,-99.5,-90,top
C19,137.7,-96.1,90,top
C25,134.3,-108.7,0,top
C26,138,-108.1,-90,top
C27,139.8,-113.3,180,top
C28,138,-110.5,-90,top
C29,155,-86.9,0,top
C30,137.7,-98.7,90,top
C31,153.2,-77.5,0,top
C32,165.1,-90.9,-90,top
C33,164.4,-105.2,90,top
C34,142.2,-86.3,0,top
C35,143.9,-113,180,top
C36,137.4,-94,90,top
C37,164.8,-99.5,-90,top
C38,150.6,-113,180,top
C39,137.6,-105.6,-90,top
C40,162.2,-112.4,0,top
C45,159.3,-113.5,0,top
C46,141.6,-82.7,90,top
C50,133.8,-105.7,0,top
C51,133.6,-99.9,0,top
C52,125.9,-83,180,top
C53,128.3,-60.2,180,top
C54,141.9,-61.8,0,top
D1,137,-51.2,180,top
D4,139.9125,-119.8,0,top
D5,127.1,-106.3,90,top
D6,139.9125,-118,0,top
D7,124.9,-106.4,90,top
FB1,144.7,-69.6,180,top
FB2,135.4,-113.2,0,top
IC1,135.4,-59.8,0,top
IC2,151,-99.5,0,top
J1,171.2,-118,90,top
J2,152.5,-52.64,180,top
J3,177.45,-96.7,90,top
J5,132.75,-79.2,90,top
J6,132.75,-75.7,90,top
J7,132.79,-72.45,90,top
J8,132.75,-68.95,90,top
J10,154.8,-118.5,0,top
J12,132.7,-65.45,90,top
J14,177.37,-87.77,180,top
J15,170.685,-72.63,90,top
J16,125.6,-95.375,0,top
L2,171,-113.7,180,top
Q1,151.9,-67.1,0,top
Q2,137.7,-68.3,0,top
R1,140.6,-51.2,180,top
R2,145.2,-66.3,0,top
R3,159.9,-52.3,90,top
R4,145.3,-52.1,90,top
R5,173.8,-113.4,-90,top
R6,137.5,-88,0,top
R7,137.5,-90.9,90,top
R8,134.7,-93.1,90,top
R9,135,-90,90,top
R10,147.9,-82.3,0,top
R11,134.4,-81.9,180,top
R12,136.1,-65.7,0,top
R13,135.8,-111.1,0,top
R15,145.3,-84.8,-90,top
R16,143.3,-84.59,90,top
R17,156.5,-113.3,-90,top
R18,154.2,-113,90,top
R22,136.1125,-119.8,180,top
R23,127.1,-110,-90,top
R24,136.1125,-118,180,top
R25,125,-109.9,-90,top
R26,137.2,-103.6,180,top
R27,159.1,-69.8,0,top
R28,159.1,-71.7,0,top
R29,159,-73.5,0,top
R30,159.6,-76.7,0,top
R31,159.5,-78.7,180,top
R32,145.6,-82.7,-90,top
S1,128.7,-88.1,0,top
S2,143.5,-77.5,-90,top
U1,146.3,-115.2,0,top
U2,173.8,-106.2,-90,top
U3,151.7,-83.9,0,top
U4,169.5,-93.2,0,top
Y1,133.7,-102.8,-90,top
