Designator,Mid X,Mid Y,Rotation,Layer
C18,-161.4,-106.6,-90,bottom
C33,-161.8,-111.2,90,bottom
C42,-142.15,-98.15,90,bottom
C43,-137.9,-100.9,-90,bottom
D4,-144.4,-103.2,180,bottom
D5,-144.4,-107,180,bottom
D6,-144.4,-101.4,180,bottom
D7,-144.4,-105,180,bottom
J9,-134.4,-117,180,bottom
J10,-126.2,-108.2,90,bottom
J11,-176.4,-105.6,-90,bottom
L3,-135.6,-98.4,90,bottom
Module1,-126.85,-79.95,90,bottom
R22,-148.2,-103.2,0,bottom
R23,-148.2,-107,0,bottom
R24,-148.2,-101.4,0,bottom
R25,-148.2,-105,0,bottom
C1,140.7,-54.4,-90,top
C2,156,-53.6,0,top
C3,152.4,-55,0,top
C4,177.2,-114.4,-90,top
C5,138.08,-81.8,90,top
C6,139.6,-81.8,90,top
C7,171.4,-98.6,90,top
C8,147.8,-76.8,180,top
C9,170.2,-113.4,90,top
C10,151.6,-76.8,0,top
C11,149.025,-75.67,0,top
C12,171.4,-113.4,90,top
C13,153.6,-81.05,0,top
C14,152,-80.6,90,top
C15,162.2,-118.4,0,top
C16,161.28,-87.2,0,top
C17,166.2,-100.8,-90,top
C19,136.8,-94.4,90,top
C20,153.4,-118.4,180,top
C21,166.2,-103.2,90,top
C22,136.8,-96.8,90,top
C23,146.8,-116.9,180,top
C24,149.2,-87.2,0,top
C25,128,-115,0,top
C26,136.2,-110.2,-90,top
C27,131.2,-112.4,0,top
C28,134.6,-112.4,90,top
C29,154.8,-87.1,0,top
C30,136.6,-103,90,top
C31,168.2,-96.8,-90,top
C32,139.9,-86.4,90,top
C34,143.9,-86.65,-90,top
C35,153.4,-117,180,top
C36,128,-112.8,-90,top
C37,159.75,-86.95,-90,top
C38,149.8,-116.6,180,top
C39,142,-117.1,180,top
C40,162.4,-120.15,180,top
C41,135.25,-99.425,90,top
C44,166.6,-97.4,-90,top
C45,158.4,-117,0,top
C46,141.3,-86.4,90,top
C47,161.6,-84.55,0,top
C48,166.6,-110.8,-90,top
C49,166.6,-106.6,90,top
C50,132.7,-109.5,0,top
C51,132.6,-103.55,0,top
C52,145.6,-66.3,90,top
C53,140.5,-57.1,180,top
C54,152.5,-57.4,0,top
D1,167.7,-46.4,0,top
D2,175.6,-96.8,180,top
D3,167.6,-85.1,90,top
F1,159.6,-62,90,top
FB1,150,-62.4,180,top
FB2,135.4,-114.55,180,top
FB3,170.65,-85.35,-90,top
FB4,135.2,-96.2,-90,top
IC1,146.4,-55.5,0,top
IC2,151.5,-102.1,0,top
J1,127,-56.05,-90,top
J2,175.25,-55.75,270,top
J3,144.2,-46.4,180,top
J4,170.4,-118,0,top
J5,132.75,-99.75,90,top
J6,132.75,-96.25,90,top
J7,132.79,-93,90,top
J8,132.75,-89.5,90,top
J12,132.7,-86,90,top
J13,176.2,-88.4,90,top
J14,154.2,-70.2,-90,top
J15,170.55,-69.2,90,top
J16,141.8,-120.2,90,top
L2,173.55,-113.39,180,top
Q1,154.8,-61.8,0,top
Q2,136.6,-86.2,0,top
R1,163.9,-46.4,0,top
R3,166.4,-57.4,180,top
R4,166.6,-53.6,180,top
R5,175.6,-113.4,-90,top
R6,169.7,-99.35,180,top
R7,136.2,-92,90,top
R8,135,-91.6,90,top
R9,135.4,-89.2,90,top
R10,147.2,-87,-90,top
R11,136.4,-83.8,180,top
R12,134,-83.4,0,top
R13,131.8,-114.4,0,top
R14,142.6,-86.4,-90,top
R15,145.2,-83.9,-90,top
R16,146.5,-83.9,90,top
R17,125.8,-106,0,top
R18,125.8,-107.4,180,top
R21,168.3,-92.85,180,top
R26,135.8,-106.8,180,top
R27,160.45,-65.3,0,top
R28,159.95,-67.05,0,top
R29,160.35,-69,0,top
R30,160,-72.35,0,top
R31,160.35,-75.05,-90,top
R32,145.6,-75.9,-90,top
S1,139.4875,-63.8,0,top
S2,143.4,-71,-90,top
U1,142.6,-81.8,0,top
U2,173.8,-106.2,-90,top
U3,151.7,-83.9,0,top
U4,170.1,-88.9,180,top
Y1,132.4,-106.6,-90,top
